CreatedDate,pm25,pm10,aqi,co2,temperature,humidity
2018-02-06 08:24:00,126,210,304,-1,0,0
2018-02-06 08:25:00,115.5,201,282,-1,0,0
2018-02-06 08:26:00,113.5,193.5,276,-1,0,0
2018-02-06 08:27:00,110.5,190.5,265,-1,0,0
2018-02-06 08:28:00,110,184,265,-1,0,0
2018-02-06 08:29:00,126.5,210,304,-1,0,0
2018-02-06 08:30:00,126,211.5,304,-1,0,0
2018-02-06 08:31:00,113,184,276,-1,0,0
2018-02-06 08:32:00,119.5,208,296,-1,0,0
2018-02-06 08:33:00,123,215,302,-1,0,0
2018-02-06 08:34:00,118,206,293,-1,0,0
2018-02-06 08:35:00,119,205,296,-1,0,0
2018-02-06 08:36:00,119,208.5,296,-1,0,0
2018-02-06 08:37:00,112,209.5,272,-1,0,0
2018-02-06 08:38:00,118,204,293,-1,0,0
2018-02-06 08:39:00,140,228,315,-1,0,0
2018-02-06 08:40:00,126.5,211,304,-1,0,0
2018-02-06 08:41:00,129,241,307,-1,0,0
2018-02-06 08:42:00,113,196.5,276,-1,0,0
2018-02-06 08:43:00,110,213.5,265,-1,0,0
2018-02-06 08:44:00,109,195.5,262,-1,0,0
2018-02-06 08:45:00,132.5,239,309,-1,0,0
2018-02-06 08:46:00,124,228,303,-1,0,0
2018-02-06 08:47:00,132.5,244.5,309,-1,0,0
2018-02-06 08:48:00,132.5,269.5,309,-1,0,0
2018-02-06 08:49:00,119.5,249,296,-1,0,0
2018-02-06 08:50:00,141.5,252.5,316,-1,0,0
2018-02-06 08:51:00,146,257.5,320,-1,0,0
2018-02-06 08:52:00,115.5,206,282,-1,0,0
2018-02-06 08:53:00,138,255,314,-1,0,0
2018-02-06 08:54:00,120,234.5,300,-1,0,0
2018-02-06 08:55:00,131.5,232.5,308,-1,0,0
2018-02-06 08:56:00,114.5,236,279,-1,0,0
2018-02-06 08:57:00,147,252,320,-1,0,0
2018-02-06 08:58:00,149.5,256,322,-1,0,0
2018-02-06 08:59:00,137,260,313,-1,0,0
2018-02-06 09:00:00,112,240,272,-1,0,0
2018-02-06 09:01:00,107,208,255,-1,0,0
2018-02-06 09:02:00,103,196.5,241,-1,0,0
2018-02-06 09:03:00,118,247.5,293,-1,0,0
2018-02-06 09:04:00,126.5,248.5,304,-1,0,0
2018-02-06 09:05:00,122,260,301,-1,0,0
2018-02-06 09:06:00,121.5,249.5,301,-1,0,0
2018-02-06 09:07:00,125,235.5,304,-1,0,0
2018-02-06 09:08:00,120,231.5,300,-1,0,0
2018-02-06 09:09:00,116.5,255,286,-1,0,0
2018-02-06 09:10:00,132,246.5,309,-1,0,0
2018-02-06 09:11:00,111,213,269,-1,0,0
2018-02-06 09:12:00,98.5,185,224,-1,0,0
2018-02-06 09:13:00,99.5,200.5,228,-1,0,0
2018-02-06 09:14:00,107.5,207,255,-1,0,0
2018-02-06 09:15:00,103,216.5,241,-1,0,0
2018-02-06 09:16:00,94,215,211,-1,0,0
2018-02-06 09:17:00,118.5,238,293,-1,0,0
2018-02-06 09:18:00,98,216,224,-1,0,0
2018-02-06 09:19:00,89.5,214.5,196,-1,0,0
2018-02-06 09:20:00,110,217,265,-1,0,0
2018-02-06 09:21:00,104.5,224,245,-1,0,0
2018-02-06 09:22:00,93.5,178,207,-1,0,0
2018-02-06 09:23:00,97,218,221,-1,0,0
2018-02-06 09:24:00,85.5,177.5,182,-1,0,0
2018-02-06 09:25:00,88.5,227,193,-1,0,0
2018-02-06 09:26:00,90.5,217,200,-1,0,0
2018-02-06 09:27:00,108.5,279.5,259,-1,0,0
2018-02-06 09:28:00,120,273,300,-1,0,0
2018-02-06 09:29:00,97,233,221,-1,0,0
2018-02-06 09:30:00,89.5,196.5,196,-1,0,0
2018-02-06 09:31:00,85.5,167,182,-1,0,0
2018-02-06 09:32:00,94,191.5,211,-1,0,0
2018-02-06 09:33:00,98,176.5,224,-1,0,0
2018-02-06 09:34:00,91,183,201,-1,0,0
2018-02-06 09:35:00,107.6666666667,203.6666666667,255,-1,0,0
2018-02-06 09:36:00,114,248,279,-1,0,0
2018-02-06 09:37:00,116.5,271,286,-1,0,0
2018-02-06 09:38:00,91.5,237,201,-1,0,0
2018-02-06 09:39:00,90.5,248,200,-1,0,0
2018-02-06 09:40:00,89.5,246,197,-1,0,0
2018-02-06 09:41:00,86.5,198,186,-1,0,0
2018-02-06 09:42:00,92,239.5,204,-1,0,0
2018-02-06 09:43:00,90.5,235.5,200,-1,0,0
2018-02-06 09:44:00,119,252,296,-1,0,0
2018-02-06 09:45:00,94.5,215.5,211,-1,0,0
2018-02-06 09:46:00,91,235.5,201,-1,0,0
2018-02-06 09:47:00,132,263,309,-1,0,0
2018-02-06 09:48:00,104,215,245,-1,0,0
2018-02-06 09:49:00,89,170,196,-1,0,0
2018-02-06 09:50:00,99.5,218.5,228,-1,0,0
2018-02-06 09:51:00,85.5,187,182,-1,0,0
2018-02-06 09:52:00,88.5,220,193,-1,0,0
2018-02-06 09:53:00,91,249.5,201,-1,0,0
2018-02-06 09:54:00,123,284.5,302,-1,0,0
2018-02-06 09:55:00,87,216,189,-1,0,0
2018-02-06 09:56:00,91.5,219.5,201,-1,0,0
2018-02-06 09:57:00,70.5,125,131,-1,0,0
2018-02-06 09:58:00,71.5,152,135,-1,0,0
2018-02-06 09:59:00,70,150,133,-1,0,0
2018-02-06 10:00:00,62.5,132,121,-1,0,0
2018-02-06 10:01:00,64,182.5,154,-1,0,0
2018-02-06 10:02:00,98,273.5,224,-1,0,0
2018-02-06 10:03:00,83,258,208,-1,0,0
2018-02-06 10:04:00,87,237,191,-1,0,0
2018-02-06 10:05:00,57.5,156.5,137,-1,0,0
2018-02-06 10:06:00,56,143.5,128,-1,0,0
2018-02-06 10:07:00,79,230,186,-1,0,0
2018-02-06 10:08:00,88.5,187.5,193,-1,0,0
2018-02-06 10:09:00,86.5,243,195,-1,0,0
2018-02-06 10:10:00,77,195.5,163,-1,0,0
2018-02-06 10:11:00,70.5,161,140,-1,0,0
2018-02-06 10:12:00,74,173,148,-1,0,0
2018-02-06 10:13:00,74,142,145,-1,0,0
2018-02-06 10:14:00,71,132,135,-1,0,0
2018-02-06 10:15:00,78.5,188,159,-1,0,0
2018-02-06 10:16:00,79.5,166.5,162,-1,0,0
2018-02-06 10:17:00,77,238,192,-1,0,0
2018-02-06 10:18:00,82.5,240.5,193,-1,0,0
2018-02-06 10:19:00,93,250.5,207,-1,0,0
2018-02-06 10:20:00,90.5,217.5,200,-1,0,0
2018-02-06 10:21:00,91,243,201,-1,0,0
2018-02-06 10:22:00,86,248.5,198,-1,0,0
2018-02-06 10:23:00,79,202,168,-1,0,0
2018-02-06 10:24:00,76,194.5,162,-1,0,0
2018-02-06 10:25:00,129.5,266.5,307,-1,0,0
2018-02-06 10:26:00,79.5,210,173,-1,0,0
2018-02-06 10:27:00,105,252,248,-1,0,0
2018-02-06 10:28:00,99,252.5,228,-1,0,0
2018-02-06 10:29:00,113,260,276,-1,0,0
2018-02-06 10:30:00,89,253,203,-1,0,0
2018-02-06 10:31:00,103,259.5,241,-1,0,0
2018-02-06 10:32:00,111,264,269,-1,0,0
2018-02-06 10:33:00,80,194.5,165,-1,0,0
2018-02-06 10:34:00,83,213.5,176,-1,0,0
2018-02-06 10:35:00,80,204,169,-1,0,0
2018-02-06 10:36:00,102,222,238,-1,0,0
2018-02-06 10:37:00,79.5,183.5,162,-1,0,0
2018-02-06 10:38:00,83.5,232,188,-1,0,0
2018-02-06 10:39:00,83.5,225,183,-1,0,0
2018-02-06 10:40:00,75.5,209.5,172,-1,0,0
2018-02-06 10:41:00,69,144,129,-1,0,0
2018-02-06 10:42:00,93,219,207,-1,0,0
2018-02-06 10:43:00,113.5,260.5,276,-1,0,0
2018-02-06 10:44:00,75,217.5,178,-1,0,0
2018-02-06 10:45:00,79,225.5,183,-1,0,0
2018-02-06 10:46:00,105,237,248,-1,0,0
2018-02-06 10:47:00,120,254,300,-1,0,0
2018-02-06 10:48:00,74.5,195,163,-1,0,0
2018-02-06 10:49:00,64.5,179.5,152,-1,0,0
2018-02-06 10:50:00,71,225.5,183,-1,0,0
2018-02-06 10:51:00,63.5,203.5,168,-1,0,0
2018-02-06 10:52:00,96.5,254,218,-1,0,0
2018-02-06 10:53:00,99,287,237,-1,0,0
2018-02-06 10:54:00,80.5,242.5,194,-1,0,0
2018-02-06 10:55:00,63.5,185,156,-1,0,0
2018-02-06 10:56:00,52,138.5,125,-1,0,0
2018-02-06 10:57:00,57.5,132.5,121,-1,0,0
2018-02-06 10:58:00,61,162.5,141,-1,0,0
2018-02-06 10:59:00,51,119,112,-1,0,0
2018-02-06 11:00:00,62,198,165,-1,0,0
2018-02-06 11:01:00,55.5,154.5,136,-1,0,0
2018-02-06 11:02:00,57.5,197,164,-1,0,0
2018-02-06 11:03:00,56,151.5,134,-1,0,0
2018-02-06 11:04:00,70,188.5,158,-1,0,0
2018-02-06 11:05:00,117,249,289,-1,0,0
2018-02-06 11:06:00,104,209.5,245,-1,0,0
2018-02-06 11:07:00,51,104,102,-1,0,0
2018-02-06 11:08:00,45.5,77.5,77,-1,0,0
2018-02-06 11:09:00,121.5,177,301,-1,0,0
2018-02-06 11:10:00,60.5,124.5,116,-1,0,0
2018-02-06 11:11:00,57,144,129,-1,0,0
2018-02-06 11:12:00,51,106.5,104,-1,0,0
2018-02-06 11:13:00,53,105.5,103,-1,0,0
2018-02-06 11:14:00,53.5,103.5,102,-1,0,0
2018-02-06 11:15:00,51.5,120.5,113,-1,0,0
2018-02-06 11:16:00,47.5,105.5,103,-1,0,0
2018-02-06 11:17:00,49,127,118,-1,0,0
2018-02-06 11:18:00,58.5,202,168,-1,0,0
2018-02-06 11:19:00,60,170.5,146,-1,0,0
2018-02-06 11:20:00,62.5,197,164,-1,0,0
2018-02-06 11:21:00,67.5,160.5,140,-1,0,0
2018-02-06 11:22:00,54,106,104,-1,0,0
2018-02-06 11:23:00,57,104.5,102,-1,0,0
2018-02-06 11:24:00,66,155,136,-1,0,0
2018-02-06 11:25:00,65,129,119,-1,0,0
2018-02-06 11:26:00,57,121,114,-1,0,0
2018-02-06 11:27:00,62.5,125,116,-1,0,0
2018-02-06 11:28:00,68,129,124,-1,0,0
2018-02-06 11:29:00,58,97,97,-1,0,0
2018-02-06 11:30:00,49.5,96,96,-1,0,0
2018-02-06 11:31:00,47,93,93,-1,0,0
2018-02-06 11:32:00,66,148.5,132,-1,0,0
2018-02-06 11:33:00,68,121,124,-1,0,0
2018-02-06 11:34:00,55.5,101,101,-1,0,0
2018-02-06 11:35:00,54,144,129,-1,0,0
2018-02-06 11:36:00,104,151,245,-1,0,0
2018-02-06 11:37:00,82,231,187,-1,0,0
2018-02-06 11:38:00,54.5,113,108,-1,0,0
2018-02-06 11:39:00,56.5,92.5,93,-1,0,0
2018-02-06 11:40:00,58,183,155,-1,0,0
2018-02-06 11:41:00,74,121.5,145,-1,0,0
2018-02-06 16:35:00,30.6666666667,62.6666666667,62,-1,-1,-1
2018-02-06 16:36:00,35,64,64,-1,-1,-1
2018-02-06 16:37:00,31,66,66,-1,-1,-1
2018-02-06 16:38:00,33,74,74,-1,-1,-1
2018-02-06 16:40:00,35,89.5,89,-1,0,0
2018-02-06 16:41:00,76,143.5,152,-1,0,0
2018-02-06 16:42:00,61,137,124,-1,0,0
2018-02-06 16:43:00,40,82,82,-1,0,0
2018-02-06 16:44:00,36.5,78.5,78,-1,0,0
2018-02-06 16:45:00,39,124,116,-1,0,0
2018-02-06 16:46:00,33,78,78,-1,0,0
2018-02-06 16:47:00,34.5,101.5,101,-1,0,0
2018-02-06 16:48:00,41.5,129,119,-1,0,0
2018-02-06 16:49:00,37,87.5,87,-1,0,0
2018-02-06 16:50:00,55,134,122,-1,0,0
2018-02-06 16:51:00,35,97,97,-1,0,0
2018-02-06 16:52:00,36.5,125,116,-1,0,0
2018-02-06 16:53:00,38.5,121,114,-1,0,0
2018-02-06 16:54:00,35,84,84,-1,0,0
2018-02-06 16:55:00,38,103,102,-1,0,0
2018-02-06 16:56:00,35,87,87,-1,0,0
2018-02-06 16:57:00,33,83.5,83,-1,0,0
2018-02-06 16:58:00,39,128,118,-1,0,0
2018-02-06 16:59:00,48.5,155,136,-1,0,0
2018-02-06 17:00:00,51,136,124,-1,0,0
2018-02-06 17:01:00,53.5,145,130,-1,0,0
2018-02-06 17:02:00,35,64,64,-1,0,0
2018-02-06 17:03:00,30.5,60,60,-1,0,0
2018-02-06 17:04:00,41,80.5,80,-1,0,0
2018-02-06 17:05:00,32,100,100,-1,0,0
2018-02-06 17:06:00,64.5,152,134,-1,0,0
2018-02-06 17:07:00,45,116,110,-1,0,0
2018-02-06 17:08:00,51,126,117,-1,0,0
2018-02-06 17:09:00,68,158,138,-1,0,0
2018-02-06 17:10:00,79,135.5,162,-1,0,0
2018-02-06 17:11:00,61,191.5,160,-1,0,0
2018-02-06 17:12:00,69,161.5,140,-1,0,0
2018-02-06 17:13:00,45,124,116,-1,0,0
2018-02-06 17:14:00,68,151,134,-1,0,0
2018-02-06 17:15:00,58.5,180,153,-1,0,0
2018-02-06 17:16:00,123.5,226,302,-1,0,0
2018-02-06 17:17:00,108,202,259,-1,0,0
2018-02-06 17:18:00,121.5,182.5,301,-1,0,0
2018-02-06 17:19:00,91,146,201,-1,0,0
2018-02-06 17:20:00,42.5,126.5,117,-1,0,0
2018-02-06 17:21:00,36,118,112,-1,0,0
2018-02-06 17:22:00,57.5,154,136,-1,0,0
2018-02-06 17:23:00,54,143,128,-1,0,0
2018-02-06 17:24:00,42.5,145,130,-1,0,0
2018-02-06 17:25:00,43,119.5,112,-1,0,0
2018-02-06 17:26:00,55,157,138,-1,0,0
2018-02-06 17:27:00,37.5,108,105,-1,0,0
2018-02-06 17:28:00,52.5,171.5,147,-1,0,0
2018-02-06 17:29:00,60,194,162,-1,0,0
2018-02-06 17:30:00,53,147,131,-1,0,0
2018-02-06 17:31:00,54,178,152,-1,0,0
2018-02-06 17:32:00,87.5,164.5,189,-1,0,0
2018-02-06 17:33:00,45,95,95,-1,0,0
2018-02-06 17:34:00,67,252,202,-1,0,0
