CreatedDate,pm25,pm10,aqi,co2,temperature,humidity
2018-02-15 08:26:00,147.0,327.0,320,-1.0
2018-02-15 08:27:00,150.5,324.5,323,-1.0
2018-02-15 08:28:00,183.0,632.0,413,-1.0
2018-02-15 08:29:00,156.0,373.6666666666667,328,-1.0
2018-02-15 08:30:00,153.5,347.5,325,-1.0
2018-02-15 08:31:00,144.0,276.3333333333333,318,-1.0
2018-02-15 08:32:00,153.5,328.0,325,-1.0
2018-02-15 08:33:00,146.5,298.5,320,-1.0
2018-02-15 08:34:00,159.66666666666666,370.0,330,-1.0
2018-02-15 08:35:00,151.0,283.5,324,-1.0
2018-02-15 08:36:00,172.0,294.3333333333333,340,-1.0
2018-02-15 08:37:00,158.0,275.0,329,-1.0
2018-02-15 08:38:00,168.33333333333334,284.0,337,-1.0
2018-02-15 08:39:00,143.66666666666666,256.6666666666667,317,-1.0
2018-02-15 08:40:00,155.66666666666666,266.6666666666667,327,-1.0
2018-02-15 08:41:00,125.33333333333333,228.0,304,-1.0
2018-02-15 08:42:00,114.0,189.0,279,-1.0
2018-02-15 08:43:00,101.5,169.0,235,-1.0
2018-02-15 08:44:00,137.66666666666666,218.33333333333334,313,-1.0
2018-02-15 08:45:00,127.5,229.5,305,-1.0
2018-02-15 08:46:00,118.0,223.5,293,-1.0
2018-02-15 08:47:00,111.33333333333333,210.33333333333334,269,-1.0
2018-02-15 08:48:00,111.5,206.0,269,-1.0
2018-02-15 08:49:00,124.0,245.33333333333334,303,-1.0
2018-02-15 08:50:00,133.5,247.5,310,-1.0
2018-02-15 08:51:00,126.5,220.0,304,-1.0
2018-02-15 08:52:00,110.33333333333333,185.0,265,-1.0
2018-02-15 08:53:00,108.33333333333333,202.66666666666666,259,-1.0
2018-02-15 08:54:00,106.66666666666667,185.33333333333334,252,-1.0
2018-02-15 08:55:00,105.5,180.5,248,-1.0
2018-02-15 08:56:00,104.33333333333333,175.0,245,-1.0
2018-02-15 08:57:00,108.33333333333333,185.0,259,-1.0
2018-02-15 08:58:00,104.25,182.75,245,-1.0
2018-02-15 08:59:00,117.66666666666667,183.66666666666666,289,-1.0
2018-02-15 09:00:00,111.5,189.0,269,-1.0
2018-02-15 09:01:00,105.66666666666667,217.66666666666666,248,-1.0
2018-02-15 09:02:00,117.0,207.5,289,-1.0
2018-02-15 09:03:00,117.0,215.0,289,-1.0
2018-02-15 09:04:00,115.66666666666667,184.0,282,-1.0
2018-02-15 09:05:00,112.0,176.0,272,-1.0
2018-02-15 09:06:00,112.33333333333333,176.66666666666666,272,-1.0
2018-02-15 09:07:00,126.0,246.66666666666666,304,-1.0
2018-02-15 09:08:00,112.33333333333333,184.0,272,-1.0
2018-02-15 09:09:00,113.5,178.5,276,-1.0
2018-02-15 09:10:00,117.5,188.0,289,-1.0
2018-02-15 09:11:00,109.5,172.0,262,-1.0
2018-02-15 09:12:00,107.5,169.5,255,-1.0
2018-02-15 09:13:00,108.5,174.5,259,-1.0
2018-02-15 09:14:00,107.5,168.5,255,-1.0
2018-02-15 09:15:00,110.5,176.5,265,-1.0
2018-02-15 09:16:00,114.0,179.0,279,-1.0
2018-02-15 09:17:00,116.0,186.5,286,-1.0
2018-02-15 09:18:00,123.0,203.0,302,-1.0
2018-02-15 09:19:00,118.5,191.5,293,-1.0
2018-02-15 09:20:00,123.5,192.5,302,-1.0
2018-02-15 09:21:00,112.5,173.0,272,-1.0
2018-02-15 09:22:00,111.0,176.0,269,-1.0
2018-02-15 09:23:00,112.0,175.5,272,-1.0
2018-02-15 09:24:00,118.0,191.5,293,-1.0
2018-02-15 09:25:00,111.5,181.5,269,-1.0
2018-02-15 09:26:00,114.0,224.0,279,-1.0
2018-02-15 09:27:00,107.0,165.0,255,-1.0
2018-02-15 09:28:00,109.0,178.0,262,-1.0
2018-02-15 09:29:00,107.0,176.0,255,-1.0
2018-02-15 09:30:00,107.5,166.5,255,-1.0
2018-02-15 09:31:00,129.0,223.5,307,-1.0
2018-02-15 09:32:00,110.0,180.5,265,-1.0
2018-02-15 09:33:00,116.0,189.0,286,-1.0
2018-02-15 09:34:00,108.0,178.0,259,-1.0
2018-02-15 09:35:00,105.0,174.5,248,-1.0
2018-02-15 09:36:00,108.5,179.5,259,-1.0
2018-02-15 09:37:00,125.0,215.5,304,-1.0
2018-02-15 09:38:00,111.5,206.0,269,-1.0
2018-02-15 09:39:00,111.0,186.0,269,-1.0
2018-02-15 09:40:00,111.5,173.5,269,-1.0
2018-02-15 09:41:00,118.0,260.5,293,-1.0
2018-02-15 09:42:00,110.5,189.0,265,-1.0
2018-02-15 09:43:00,104.0,158.0,245,-1.0
2018-02-15 09:44:00,110.5,178.0,265,-1.0
2018-02-15 09:45:00,113.0,210.0,276,-1.0
2018-02-15 09:46:00,132.0,217.5,309,-1.0
2018-02-15 09:47:00,107.5,179.0,255,-1.0
2018-02-15 09:48:00,110.5,177.5,265,-1.0
2018-02-15 09:49:00,111.5,190.0,269,-1.0
2018-02-15 09:50:00,107.5,181.5,255,-1.0
2018-02-15 09:51:00,119.0,207.0,296,-1.0
2018-02-15 09:52:00,126.0,225.5,304,-1.0
2018-02-15 09:53:00,109.0,191.5,262,-1.0
2018-02-15 09:54:00,104.0,177.5,245,-1.0
2018-02-15 09:55:00,106.5,183.5,252,-1.0
2018-02-15 09:56:00,102.0,162.0,238,-1.0
2018-02-15 09:57:00,113.0,183.0,276,-1.0
2018-02-15 09:58:00,96.5,154.0,218,-1.0
2018-02-15 09:59:00,107.0,175.0,255,-1.0
